,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
794,2,Wakad,1200,8000,2.0,96.0,2013.0,-8.0
796,3,Wakad,1700,7647,3.0,130.0,2022.0,1.0
797,1,Mahalunge,468,9081,1.0,42.5,2024.0,3.0
798,2,Mahalunge,641,8892,2.0,57.0,2024.0,3.0
799,3,Mahalunge,815,8711,3.0,71.0,2024.0,3.0
800,2,Ravet,780,5539,2.0,43.21,2022.0,1.0
801,3,Ravet,1215,5671,3.0,68.91,2023.0,2.0
802,2,Mundhwa,980,5612,2.0,55.0,2024.0,3.0
803,1,Ravet,713,5610,1.0,40.0,2021.0,0.0
804,1,Tathawade,672,4647,1.0,31.23,2023.0,2.0
805,1,Ravet,611,5094,1.0,31.13,2023.0,2.0
806,1,Ravet,643,5939,1.0,38.19,2022.0,1.0
807,3,Wagholi,1235,4777,3.0,59.0,2015.0,-6.0
811,2,Ravet,897,4928,2.0,44.21,2023.0,2.0
814,1,Balewadi,680,7672,1.0,52.17,2022.0,1.0
815,2,Wagholi,990,4242,2.0,42.0,2015.0,-6.0
818,3,Kharadi,1850,7189,3.0,133.0,2017.0,-4.0
821,3,Kharadi,1750,7485,6.0,131.0,2018.0,-3.0
826,3,Kharadi,1700,7705,3.0,131.0,2018.0,-3.0
830,2,Nere,550,4545,2.0,25.0,2018.0,-3.0
831,1,Anand Park,620,9354,2.0,58.0,1986.0,-35.0
832,3,Baner,1750,7428,3.0,130.0,2017.0,-4.0
835,2,Kharadi,910,6071,2.0,55.25,2026.0,5.0
836,2,Kharadi,915,6021,2.0,55.1,2026.0,5.0
837,2,Kharadi,930,5913,2.0,55.0,2026.0,5.0
838,2,Kharadi,900,6055,2.0,54.5,2026.0,5.0
839,2,Kharadi,938,5756,2.0,54.0,2026.0,5.0
840,2,Kharadi,920,5978,2.0,55.0,2026.0,5.0
842,1,Hinjewadi,719,5006,1.0,36.0,2016.0,-5.0
843,3,Kharadi,1575,6920,2.0,109.00000000000001,2022.0,1.0
845,3,Kharadi,1556,6683,3.0,104.0,2022.0,1.0
846,1,Vadgaon Budruk,900,3888,2.0,35.0,2012.0,-9.0
