bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Mundhwa,72 L,1180,Ready to move,,"6,101 / sq ft",1,3
2,Mundhwa,1.15 Cr,1417,Ready to move,,"8,115 / sq ft",,2
2,Kharadi,80 L,1134,Ready to move,,"7,054 / sq ft",,3
2,Kharadi,1.2 Cr,2295,Ready to move,,"5,228 / sq ft",,
3,Kharadi,1.8 Cr,2400,Ready to move,,"7,500 / sq ft",,3
2,Kharadi,1.15 Cr,2100,Ready to move,,"5,476 / sq ft",,2
3,Mundhwa,1.65 Cr,1550,Ready to move,,"10,645 / sq ft",7,
2,Balewadi,86 L,1107,Under Construction,,"7,768 / sq ft",,2
1,Vadgaon,18.12 L,625,Ready to move,,"2,900 / sq ft",1,1
2,Balewadi,74.1 L,1235,Ready to move,,"6,000 / sq ft",4,
2,Balewadi,64.2 L,1070,Ready to move,,"6,000 / sq ft",4,
3,Balewadi,93.9 L,1565,Ready to move,,"6,000 / sq ft",4,
1,Hinjewadi,39.26 L,455,Under Construction,Possession by Nov 2022,"8,647 / sq ft",,
1,Hinjewadi,33.99 L,394,Under Construction,Possession by Nov 2022,"8,651 / sq ft",,
2,Hinjewadi,46 L,546,Under Construction,Possession by Nov 2022,"8,424 / sq ft",,
2,Wanowrie,68 L,865,Ready to move,,"7,861 / sq ft",15,1
1,Manjari Budruk,13 L,302,Ready to move,,"4,304 / sq ft",,1
4,Baner,1.5 Cr,3500,Under Construction,,"4,300 / sq ft",,4
3,Baner,1.07 Cr,2500,Under Construction,,"4,300 / sq ft",,3
1,Sus,37.12 L,703,Under Construction,,"5,281 / sq ft",,2
2,Sus,58.97 L,916,Under Construction,,"6,437 / sq ft",,2
2,Wakad,55 L,1012,Ready to move,,Price,,2
2,Wakad,72 L,887,Ready to move,,Price,,2
2,Wakad,72 L,887,Ready to move,,Price,,2
3,Mahalunge,1.9 Cr,2400,Ready to move,,"7,916 / sq ft",1,3
2,Ambegaon 1,43.33 L,963,Under Construction,,"4,500 / sq ft",,2
1,Ambegaon 1,26.59 L,591,Under Construction,,"4,500 / sq ft",,1
2,Ambegaon 1,42.97 L,955,Under Construction,,"4,500 / sq ft",,2
2,Ambegaon 1,42.97 L,955,Under Construction,,"4,500 / sq ft",,2
1,Ambegaon 1,26.59 L,591,Under Construction,,"4,500 / sq ft",,1
2,Ambegaon 1,43.33 L,963,Under Construction,,"4,500 / sq ft",,2
2,Ambegaon 1,42.07 L,935,Under Construction,,"4,500 / sq ft",,2
2,Ambegaon 1,43.33 L,963,Under Construction,,"4,500 / sq ft",,2
1,Bavdhan,37.5 L,650,Under Construction,Possession by Jun 2024,"5,769 / sq ft",,2
2,Bavdhan,78 L,1147,Under Construction,Possession by Jun 2024,"6,800 / sq ft",,3
3,Bavdhan,88 L,1323,Under Construction,Possession by Jun 2024,"6,651 / sq ft",,3
1,Bavdhan,38 L,639,Under Construction,Possession by Jun 2024,"5,946 / sq ft",,1
1,Bavdhan,39 L,639,Under Construction,Possession by Jun 2024,"6,103 / sq ft",,1
2,Bavdhan,65.5 L,1006,Under Construction,Possession by Jun 2024,"6,510 / sq ft",,2
